Name                                              	ID                  	Nametype                 	Recclass                 	Mass                	Fall                	Year                	Reclat              	Reclong             	Geolocation                   	State               	Countries                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Abee                                              	6                   	Valid                    	EH4                      	107000.0            	Fell                	1952                	54.21667            	-113                	"(54.21667, -113.0)"          	                    	                              
Akyumak                                           	433                 	Valid                    	"Iron, IVA"              	50000.0             	Fell                	1981                	39.91667            	42.81667            	"(39.91667, 42.81667)"        	                    	                              
Alfianello                                        	466                 	Valid                    	L6                       	228000.0            	Fell                	1883                	45.26667            	10.15               	"(45.26667, 10.15)"           	                    	                              
Allegan                                           	2276                	Valid                    	H5                       	32000.0             	Fell                	1899                	42.53333            	-85.88333           	"(42.53333, -85.88333)"       	50                  	429                           
Allende                                           	2278                	Valid                    	CV3                      	2000000.0           	Fell                	1969                	26.96667            	-105.31667          	"(26.96667, -105.31667)"      	                    	                              
Aumale                                            	4899                	Valid                    	L6                       	50000.0             	Fell                	1865                	36.16667            	3.66667             	"(36.16667, 3.66667)"         	                    	                              
Ausson                                            	4903                	Valid                    	L5                       	50000.0             	Fell                	1858                	43.08333            	0.58333             	"(43.08333, 0.58333)"         	                    	                              
Barwell                                           	4954                	Valid                    	L5                       	44000.0             	Fell                	1965                	52.56528            	-1.33972            	"(52.56528, -1.33972)"        	                    	                              
Bath Furnace                                      	4975                	Valid                    	L6                       	86000.0             	Fell                	1902                	38.25               	-83.75              	"(38.25, -83.75)"             	36                  	1921                          
Bensour                                           	5024                	Valid                    	LL6                      	45000.0             	Fell                	2002                	30                  	-7                  	"(30.0, -7.0)"                	                    	                              
Bjurb�le                                        	5064                	Valid                    	L/LL4                    	330000.0            	Fell                	1899                	60.4                	25.8                	"(60.4, 25.8)"                	                    	                              
Boguslavka                                        	5098                	Valid                    	"Iron, IIAB"             	256000.0            	Fell                	1916                	44.55               	131.63333           	"(44.55, 131.63333)"          	                    	                              
Braunau                                           	5133                	Valid                    	"Iron, IIAB"             	39000.0             	Fell                	1847                	50.6                	16.3                	"(50.6, 16.3)"                	                    	                              
Bruderheim                                        	5156                	Valid                    	L6                       	303000.0            	Fell                	1960                	53.9                	-112.88333          	"(53.9, -112.88333)"          	                    	                              
Bur-Gheluai                                       	5169                	Valid                    	H5                       	120000.0            	Fell                	1919                	5                   	48                  	"(5.0, 48.0)"                 	                    	                              
Buzzard Coulee                                    	48654               	Valid                    	H4                       	41000.0             	Fell                	2008                	52.996              	-109.84817          	"(52.996, -109.84817)"        	                    	                              
Cabin Creek                                       	5186                	Valid                    	"Iron, IIIAB"            	48500.0             	Fell                	1886                	35.5                	-93.5               	"(35.5, -93.5)"               	15                  	1029                          
Cangas de Onis                                    	5252                	Valid                    	H5                       	34000.0             	Fell                	1866                	43.38333            	-5.15               	"(43.38333, -5.15)"           	                    	                              
Chantonnay                                        	5325                	Valid                    	L6                       	31500.0             	Fell                	1812                	46.68333            	1.05                	"(46.68333, 1.05)"            	                    	                              
Chelyabinsk                                       	57165               	Valid                    	LL5                      	100000.0            	Fell                	2013                	54.81667            	61.11667            	"(54.81667, 61.11667)"        	                    	                              
Chergach                                          	47347               	Valid                    	H5                       	100000.0            	Fell                	2007                	23.69639            	-5.01472            	"(23.69639, -5.01472)"        	                    	                              
Colby (Wisconsin)                                 	5395                	Valid                    	L6                       	104000.0            	Fell                	1917                	44.9                	-90.28333           	"(44.9, -90.28333)"           	41                  	877                           
Dhajala                                           	6698                	Valid                    	H3.8                     	45000.0             	Fell                	1976                	22.37778            	71.42722            	"(22.37778, 71.42722)"        	                    	                              
Dhurmsala                                         	7640                	Valid                    	LL6                      	32000.0             	Fell                	1860                	32.23333            	76.46667            	"(32.23333, 76.46667)"        	                    	                              
Djati-Pengilon                                    	7652                	Valid                    	H6                       	166000.0            	Fell                	1884                	-7.5                	111.5               	"(-7.5, 111.5)"               	                    	                              
Dong Ujimqin Qi                                   	7706                	Valid                    	Mesosiderite             	128800.0            	Fell                	1995                	45.5                	119.03333           	"(45.5, 119.03333)"           	                    	                              
Dresden (Ontario)                                 	7731                	Valid                    	H6                       	47700.0             	Fell                	1939                	42.52               	-82.26              	"(42.52, -82.26)"             	                    	                              
Elbogen                                           	7823                	Valid                    	"Iron, IID"              	107000.0            	Fell                	1399                	50.18333            	12.73333            	"(50.18333, 12.73333)"        	                    	                              
Elenovka                                          	7824                	Valid                    	L5                       	54640.0             	Fell                	1951                	47.83333            	37.66667            	"(47.83333, 37.66667)"        	                    	                              
Ensisheim                                         	10039               	Valid                    	LL6                      	127000.0            	Fell                	1491                	47.86667            	7.35                	"(47.86667, 7.35)"            	                    	                              
Estherville                                       	10059               	Valid                    	Mesosiderite-A3/4        	320000.0            	Fell                	1879                	43.41667            	-94.83333           	"(43.41667, -94.83333)"       	16                  	277                           
Farmington                                        	10074               	Valid                    	L5                       	89400.0             	Fell                	1890                	39.75               	-97.03333           	"(39.75, -97.03333)"          	17                  	1300                          
Farmville                                         	10075               	Valid                    	H4                       	56000.0             	Fell                	1934                	35.55               	-77.53333           	"(35.55, -77.53333)"          	37                  	2439                          
Forest City                                       	10119               	Valid                    	H5                       	152000.0            	Fell                	1890                	43.25               	-93.66667           	"(43.25, -93.66667)"          	16                  	1785                          
Glasatovo                                         	10926               	Valid                    	H4                       	152000.0            	Fell                	1918                	57.35               	37.61667            	"(57.35, 37.61667)"           	                    	                              
Guare�a                                         	11439               	Valid                    	H6                       	39000.0             	Fell                	1892                	38.73333            	-6.01667            	"(38.73333, -6.01667)"        	                    	                              
Gujba                                             	11449               	Valid                    	CBa                      	100000.0            	Fell                	1984                	11.49167            	11.65833            	"(11.49167, 11.65833)"        	                    	                              
Gursum                                            	11465               	Valid                    	H4/5                     	34650.0             	Fell                	1981                	9.36667             	42.41667            	"(9.36667, 42.41667)"         	                    	                              
Holbrook                                          	11894               	Valid                    	L/LL6                    	220000.0            	Fell                	1912                	34.9                	-110.18333          	"(34.9, -110.18333)"          	7                   	990                           
Homestead                                         	11901               	Valid                    	L5                       	230000.0            	Fell                	1875                	41.8                	-91.86667           	"(41.8, -91.86667)"           	16                  	284                           
Hraschina                                         	11916               	Valid                    	"Iron, IID"              	49000.0             	Fell                	1751                	46.1                	16.33333            	"(46.1, 16.33333)"            	                    	                              
Jackalsfontein                                    	12065               	Valid                    	L6                       	48000.0             	Fell                	1903                	-32.5               	21.9                	"(-32.5, 21.9)"               	                    	                              
Jelica                                            	12078               	Valid                    	LL6                      	34000.0             	Fell                	1889                	43.83333            	20.44167            	"(43.83333, 20.44167)"        	                    	                              
Jianshi                                           	12087               	Valid                    	"Iron, IIIAB"            	600000.0            	Fell                	1890                	30.80833            	109.5               	"(30.80833, 109.5)"           	                    	                              
Jilin                                             	12171               	Valid                    	H5                       	4000000.0           	Fell                	1976                	44.05               	126.16667           	"(44.05, 126.16667)"          	                    	                              
Johnstown                                         	12198               	Valid                    	Diogenite                	40300.0             	Fell                	1924                	40.35               	-104.9              	"(40.35, -104.9)"             	9                   	1072                          
Juancheng                                         	12203               	Valid                    	H5                       	100000.0            	Fell                	1997                	35.5                	115.41667           	"(35.5, 115.41667)"           	                    	                              
Jumapalo                                          	12209               	Valid                    	L6                       	32490.0             	Fell                	1984                	-7.71667            	111.2               	"(-7.71667, 111.2)"           	                    	                              
Juvinas                                           	12214               	Valid                    	Eucrite-mmict            	91000.0             	Fell                	1821                	44.71667            	4.3                 	"(44.71667, 4.3)"             	                    	                              
Kainsaz                                           	12229               	Valid                    	CO3.2                    	200000.0            	Fell                	1937                	55.43333            	53.25               	"(55.43333, 53.25)"           	                    	                              
Karoonda                                          	12264               	Valid                    	CK4                      	41730.0             	Fell                	1930                	-35.08333           	139.91667           	"(-35.08333, 139.91667)"      	                    	                              
Kayakent                                          	12268               	Valid                    	"Iron, IIIAB"            	85000.0             	Fell                	1961                	39.26333            	31.78               	"(39.26333, 31.78)"           	                    	                              
